qid,answer,prompt_tokens,completion_tokens,total_tokens
summary,,1152471,19030,1171501
fc_a_001,ABD,9869,183,10052
fc_a_002,ABD,11678,182,11860
fc_a_003,A,4541,95,4636
fc_a_004,ACD,13798,194,13992
fc_a_005,ABCD,13168,191,13359
fc_a_006,A,9007,314,9321
fc_a_007,BD,11386,205,11591
fc_a_008,D,11927,223,12150
fc_a_009,AB,10636,184,10820
fc_a_010,A,9227,307,9534
fc_a_011,AB,9731,173,9904
fc_a_012,ACD,15607,227,15834
fc_a_013,A,8433,296,8729
fc_a_014,AB,12300,190,12490
fc_a_015,B,11989,199,12188
fc_a_016,ABC,12483,174,12657
fc_a_017,ABD,11046,185,11231
fc_a_018,A,9493,266,9759
fc_a_019,AB,11918,178,12096
fc_a_020,ABD,12268,157,12425
fin_a_001,AB,17819,238,18057
fin_a_002,ABD,15811,254,16065
fin_a_003,A,5058,142,5200
fin_a_004,ABD,16718,220,16938
fin_a_005,ABCD,15415,229,15644
fin_a_006,A,11333,246,11579
fin_a_007,ABD,16764,233,16997
fin_a_008,D,15599,264,15863
fin_a_009,ABC,14809,212,15021
fin_a_010,A,5462,140,5602
fin_a_011,CD,14875,201,15076
fin_a_012,D,14196,166,14362
fin_a_013,A,4862,183,5045
fin_a_014,B,16759,177,16936
fin_a_015,A,14626,224,14850
fin_a_016,ABD,14219,214,14433
fin_a_017,AC,13062,196,13258
fin_a_018,A,9951,291,10242
fin_a_019,AB,16247,184,16431
fin_a_020,B,15128,206,15334
ins_a_001,A,14273,240,14513
ins_a_002,A,14474,259,14733
ins_a_003,A,14652,251,14903
ins_a_004,A,15272,203,15475
ins_a_005,ABCD,15320,178,15498
ins_a_006,A,14476,246,14722
ins_a_007,BC,12807,183,12990
ins_a_008,AC,15642,177,15819
ins_a_009,C,15079,209,15288
ins_a_010,ABCD,15030,190,15220
ins_a_011,ABCD,14325,179,14504
ins_a_012,A,15168,145,15313
ins_a_013,A,13508,245,13753
ins_a_014,ACD,14973,199,15172
ins_a_015,AB,15805,192,15997
ins_a_016,CD,16061,154,16215
ins_a_017,ABCD,15195,164,15359
ins_a_018,BC,16234,170,16404
ins_a_019,ABCD,15740,159,15899
ins_a_020,A,15385,249,15634
reg_a_001,AC,5324,197,5521
reg_a_002,ABC,4941,151,5092
reg_a_003,A,3208,139,3347
reg_a_004,ABC,5300,155,5455
reg_a_005,ABC,5051,168,5219
reg_a_006,A,2599,119,2718
reg_a_007,ACD,5652,174,5826
reg_a_008,A,5207,182,5389
reg_a_009,ABD,5405,170,5575
reg_a_010,B,3009,138,3147
reg_a_011,ACD,6914,165,7079
reg_a_012,ABD,6778,158,6936
reg_a_013,A,4595,121,4716
reg_a_014,ABD,7175,145,7320
reg_a_015,C,6613,172,6785
reg_a_016,ABD,12441,157,12598
reg_a_017,AB,10771,172,10943
reg_a_018,A,4083,110,4193
reg_a_019,ABD,13141,160,13301
reg_a_020,ABD,7074,157,7231
res_a_001,ABC,17350,184,17534
res_a_002,ABC,14719,164,14883
res_a_003,A,10913,296,11209
res_a_004,ABC,17229,162,17391
res_a_005,ABC,14606,175,14781
res_a_006,A,4362,180,4542
res_a_007,ABC,12198,177,12375
res_a_008,A,11817,204,12021
res_a_009,ABC,12596,175,12771
res_a_010,A,4558,126,4684
res_a_011,ABC,12870,182,13052
res_a_012,ABC,12748,163,12911
res_a_013,B,4984,125,5109
res_a_014,ABCD,15297,173,15470
res_a_015,A,11432,210,11642
res_a_016,ACD,11944,204,12148
res_a_017,ABD,17091,175,17266
res_a_018,A,6211,135,6346
res_a_019,AB,10448,191,10639
res_a_020,AB,15180,184,15364
